"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2128","Valid Image - Broken Image Tests","chromium","Tue Feb 10 12:42:28 UTC 2026","passed","Tue Feb 10 12:42:30 UTC 2026","Elements Suite: Links Functionality","Elements_demoQa/broken_links_images.spec.js","",""
"","10595","Links Functionality","chromium","Tue Feb 10 12:43:11 UTC 2026","passed","Tue Feb 10 12:43:21 UTC 2026","Elements Suite: Links Functionality","Elements_demoQa/links.spec.js","",""
"","2069","Nested Frames","chromium","Tue Feb 10 12:42:23 UTC 2026","passed","Tue Feb 10 12:42:25 UTC 2026","Test suite : Nested Frames","alerts_frame_windows/nested_frames.spec.js","",""
"","7120","Tabs","chromium","Tue Feb 10 12:46:43 UTC 2026","passed","Tue Feb 10 12:46:50 UTC 2026","Test Suite : Tabs","widgets_/tabs.spec.js","",""
"","2813","All Button Functionalities Combined","chromium","Tue Feb 10 12:42:36 UTC 2026","passed","Tue Feb 10 12:42:39 UTC 2026","Elements Suite: Buttons Functionality","Elements_demoQa/buttons.spec.js","",""
"","3058","Resizeable","chromium","Tue Feb 10 12:45:54 UTC 2026","passed","Tue Feb 10 12:45:57 UTC 2026","Test Suite : Resizeable","interactions/resizeable.spec.js","",""
"","7359","Sortable List","chromium","Tue Feb 10 12:46:06 UTC 2026","passed","Tue Feb 10 12:46:13 UTC 2026","Test Suite : Sortable","interactions/sortable.spec.js","",""
"","2205","Browser Windows : New Window","chromium","Tue Feb 10 12:42:13 UTC 2026","passed","Tue Feb 10 12:42:16 UTC 2026","ALerts, Frame & Windows => Test suite","alerts_frame_windows/browser_windows.spec.js","",""
"","2120","Single Color","chromium","Tue Feb 10 12:46:24 UTC 2026","passed","Tue Feb 10 12:46:26 UTC 2026","Test suite : Auto Complete","widgets_/auto_complete.spec.js","",""
"","10159","Tool Tips","chromium","Tue Feb 10 12:46:59 UTC 2026","passed","Tue Feb 10 12:47:09 UTC 2026","Test Suite : Tool Tips","widgets_/tool_tips.spec.js","",""
"","8161","Test case","chromium","Tue Feb 10 12:46:31 UTC 2026","passed","Tue Feb 10 12:46:39 UTC 2026","Test suite","widgets_/progress_bar.spec.js","",""
"","5630","Prevent Propogation Droppable","chromium","Tue Feb 10 12:45:11 UTC 2026","passed","Tue Feb 10 12:45:16 UTC 2026","Test Suite : Droppable","interactions/droppable.spec.js","",""
"","5503","Simple Droppable","chromium","Tue Feb 10 12:44:37 UTC 2026","passed","Tue Feb 10 12:44:43 UTC 2026","Test Suite : Droppable","interactions/droppable.spec.js","",""
